id_proveedor,id_videojuego,precio,precio_preorden
1,16,32000.0,nan
1,18,nan,nan
1,20,nan,nan
1,21,39200.0,43120.0
1,37,18000.0,nan
1,38,7000.0,nan
1,40,5250.0,nan
1,59,23600.0,25960.0
1,71,24400.0,nan
1,72,22750.0,nan
1,73,30150.0,nan
1,75,47450.0,52195.0
1,109,27450.0,30195.0
1,113,41200.0,nan
1,116,39000.0,nan
1,121,4000.0,nan
1,124,3630.0,nan
1,132,48500.0,nan
1,231,14850.0,16335.0
1,233,36450.0,nan
1,239,nan,nan
1,247,17100.0,nan
1,343,57200.0,nan
1,472,60000.0,66000.0
1,478,66000.0,nan
1,493,nan,nan
1,498,nan,nan
1,500,29750.0,nan
1,501,34500.0,nan
1,529,35000.0,38500.0
1,537,13500.0,nan
1,538,14500.0,nan
1,622,38000.0,41800.0
1,673,26500.0,29150.0
1,731,nan,nan
1,732,0.0,nan
1,733,6500.0,7150.0
1,866,21000.0,nan
1,960,11550.0,nan
1,979,31150.0,nan
1,1011,12950.0,nan
1,1020,0.0,nan
1,1121,8750.0,nan
1,1164,21000.0,nan
1,1262,34500.0,nan
1,1331,15500.0,nan
1,1384,nan,nan
1,1802,13050.0,14355.0
1,1887,24300.0,nan
1,1970,66300.0,nan
1,2031,nan,nan
1,2155,32850.0,nan
1,2993,42900.0,nan
1,5503,nan,nan
1,6801,33200.0,nan
1,7344,41500.0,nan
1,8173,70200.0,nan
1,9730,nan,nan
1,11198,24750.0,nan
1,11208,nan,nan
1,12517,12650.0,nan
1,14593,27600.0,nan
1,17000,nan,nan
3,15,9100.0,nan
3,16,52000.0,nan
3,18,nan,nan
3,20,nan,nan
3,21,34300.0,37730.0
3,37,14400.0,nan
3,40,9750.0,nan
3,72,21000.0,nan
3,73,23450.0,nan
3,74,nan,nan
3,75,25550.0,28105.0
3,76,nan,nan
3,113,66950.0,nan
3,126,nan,nan
3,127,37050.0,40755.0
3,128,37600.0,nan
3,230,nan,nan
3,231,21450.0,23595.0
3,233,36450.0,nan
3,247,20900.0,nan
3,343,52000.0,nan
3,427,10000.0,nan
3,478,55000.0,nan
3,493,nan,nan
3,498,nan,nan
3,501,24150.0,nan
3,529,50000.0,55000.0
3,533,33750.0,nan
3,537,13500.0,nan
3,545,66000.0,nan
3,559,28050.0,nan
3,673,31800.0,34980.0
3,730,8050.0,nan
3,731,nan,nan
3,733,4000.0,4400.0
3,960,12600.0,nan
3,1011,22200.0,nan
3,1020,19600.0,nan
3,1262,37950.0,nan
3,1266,29400.0,nan
3,1331,15500.0,nan
3,1352,21500.0,23650.0
3,1384,nan,nan
3,1871,5600.0,nan
3,1887,24300.0,nan
3,1942,28800.0,nan
3,1970,51000.0,nan
3,2993,50700.0,nan
3,7323,45450.0,nan
3,7344,29050.0,nan
3,7351,46500.0,nan
3,7599,35200.0,nan
3,8173,59400.0,nan
3,9630,nan,nan
3,9730,nan,nan
3,14593,34500.0,nan
3,17000,nan,nan
3,25076,40800.0,nan
6,116,39000.0,nan
6,358,47000.0,nan
6,427,8750.0,nan
6,673,18550.0,20405.0
6,974,15500.0,nan
6,1026,18500.0,nan
6,1029,33500.0,nan
6,1068,nan,nan
6,1070,nan,nan
6,1074,nan,nan
6,1262,31050.0,nan
6,1331,20150.0,nan
6,1802,15950.0,17545.0
6,1871,9600.0,nan
6,1942,22400.0,nan
6,7342,46000.0,50600.0
6,7344,49800.0,nan
6,7346,3300.0,nan
6,8173,54000.0,nan
6,9730,nan,nan
6,11198,18000.0,nan
6,12517,9200.0,nan
6,14593,31050.0,nan
6,17000,nan,nan
6,26758,nan,nan
4,15,13000.0,nan
4,16,40000.0,nan
4,18,nan,nan
4,20,nan,nan
4,21,49000.0,53900.0
4,37,18000.0,nan
4,38,10000.0,nan
4,39,19000.0,nan
4,40,7500.0,nan
4,43,5000.0,nan
